file_timestamp_utc,file_name,file_uid,extended_items_metadata,timestamp_recorded_utc,extended_items_time,ugms_unit_id,ugms_unit_uid,gps_fix_quality,gps_latitude_deg,gps_longitude_deg,speed_as_recorded,speed_as_recorded_unit,elapsed_distance_as_recorded_m,extended_items_geography,left_top_35m_mm,right_top_35m_mm,crosslevel_mm,twist_3m_mm,left_top_35m_SD_mm,right_top_35m_SD_mm,mean_top_70m_SD_mm,twist_3m_SD_mm,left_dip_joint_mrad,right_dip_joint_mrad,pseudo_align_35m_mm,pseudo_align_70m_mm,pseudo_align_35m_SD_mm,pseudo_align_70m_SD_mm,mean_top_70m_mm,extended_items_geometry,accel_z_wb_ms_2,accel_x_wc_ms_2,accel_x_wd_ms_2,accel_y_wd_ms_2,accel_y_wp_ms_2,data_row_uid,creating_adapter_version
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.440040Z,"{""timestamp_ticks"": ""636827124044400399"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,4.0,{},-0.301177,-0.133954,17.3742,-1.1334,0.786052,0.775466,,1.37972,0.0,0.0,0.59756,12.0952,6.1045,,-0.108304,"{""curvature_mm"": ""-73.1422""}",-0.005917,0.0177126,0.00211633,0.0240289,0.0240289,fdc3d1ba-f831-4f7c-8fe3-a6b5227cd947,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.586720Z,"{""timestamp_ticks"": ""636827124045867198"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,4.2,{},-0.345706,-0.00213186,17.121,-1.27237,0.786115,0.775345,,1.37959,0.0,0.0,0.533431,12.1219,6.11874,,-0.0753947,"{""curvature_mm"": ""-73.1068""}",5.73861e-05,0.0062877,0.00135327,0.0185207,0.0185207,e936b663-9cab-43bc-b031-37ac6eb41439,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.733400Z,"{""timestamp_ticks"": ""636827124047333998"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,4.4,{},-0.344161,0.168726,16.8598,-1.41687,0.786094,0.775114,,1.37946,0.0,0.0,0.468798,12.1431,6.13299,,0.00306553,"{""curvature_mm"": ""-73.0712""}",-0.0168004,-0.0241113,-0.00632291,0.00909494,0.00909494,a2ae8647-23ef-4a9f-9f39-715fd7955c09,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.880080Z,"{""timestamp_ticks"": ""636827124048800798"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,4.6,{},-0.31136,0.368012,16.5861,-1.62557,0.785852,0.774898,,1.37926,0.0,0.0,0.41016,12.1653,6.14724,,0.116153,"{""curvature_mm"": ""-73.0357""}",-0.0100699,-0.0179301,-0.00659207,-0.000631202,-0.000631202,e19a4d8b-2118-445d-bcc9-efa372b951cb,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.026760Z,"{""timestamp_ticks"": ""636827124050267597"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,4.8,{},-0.259635,0.55585,16.3281,-1.86726,0.785284,0.774798,,1.37893,0.0,0.0,0.358881,12.1901,6.1615,,0.238675,"{""curvature_mm"": ""-73.0002""}",0.0413695,-0.00103801,-0.00318232,-0.00733731,-0.00733731,09c86691-f385-4cfa-8ceb-92967dd912b2,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.173440Z,"{""timestamp_ticks"": ""636827124051734397"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,5.0,{},-0.191814,0.697628,16.1213,-2.05754,0.784485,0.774735,,1.37867,0.0,0.0,0.309458,12.2122,6.17575,,0.351775,"{""curvature_mm"": ""-72.9649""}",0.063172,-0.000904234,-0.00302321,-0.0132035,-0.0132035,cbafdcd3-7a9f-4615-9b91-455ece106aec,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.000000Z,"{""timestamp_ticks"": ""636827124050000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516551,-0.17658,3.813,mph,5.2,{},-0.13965,0.801503,15.9295,-2.2504,0.783457,0.774716,,1.37847,0.0,0.0,0.259066,12.2288,6.18999,,0.442791,"{""curvature_mm"": ""-72.9298""}",0.0131353,-0.0181178,-0.00771199,-0.0192474,-0.0192474,1030c50e-0793-44b0-85ea-5eecddb30074,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.117344Z,"{""timestamp_ticks"": ""636827124051173439"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516551,-0.17658,3.813,mph,5.4,{},-0.113822,0.862442,15.7483,-2.46506,0.78225,0.774774,,1.3783,0.0,0.0,0.216334,12.2485,6.20422,,0.502507,"{""curvature_mm"": ""-72.8951""}",-0.00683098,-0.0257811,-0.0114521,-0.0223119,-0.0223119,811e3600-33dc-4c37-a167-ac017f6b65d9,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.234688Z,"{""timestamp_ticks"": ""636827124052346879"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516551,-0.17658,3.813,mph,5.6,{},-0.10013,0.873362,15.6015,-2.62892,0.781141,0.774829,,1.37831,0.0,0.0,0.192494,12.2832,6.21847,,0.532989,"{""curvature_mm"": ""-72.8607""}",0.0222322,-0.00448572,-0.00747507,-0.0194651,-0.0194651,f0778100-b103-4977-8feb-e90d1974e667,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:05.352032Z,"{""timestamp_ticks"": ""636827124053520319"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516551,-0.17658,3.813,mph,5.8,{},-0.0900797,0.862905,15.4713,-2.7481,0.780262,0.774853,,1.37853,0.0,0.0,0.189127,12.3354,6.23278,,0.551797,"{""curvature_mm"": ""-72.8266""}",0.0418989,0.00995371,-0.00327041,-0.0130946,-0.0130946,cd559779-cc28-4869-87ba-b2f7716d3afe,Vivacity-UGMS-Sample-v0.0.1
